Question,Answer,File,URL
How can volunteering lead to a full-time job?,"Volunteering can lead to a full-time job by gaining valuable experience, networking with professionals, and showcasing skills and dedication to potential employers.",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I prioritize my well-being while pursuing academic and career goals?,"- Find a balance between academic responsibilities and personal well-being
- Volunteer to gain experience and potentially lead to a full-time job
- Prioritize your well-being while pursuing your dreams and goals",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How important is breathing in daily life?,Breathing is essential for daily life as it is a constant reminder that we are alive.,0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What are some healthy habits of gratitude for finding happiness?,"- Thanking ourselves
- Practicing gratitude",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
How can I practice resilience in the face of adversities and challenges?,"- Remember that humans are resilient
- Practice resilience in your day-to-day journey of personal growth
- Find ways to thrive in life's storms",0_10,https://olc.sfu.ca/program/sfu-health-and-counselling-services
What services does the Student Learning Commons provide?,"- Expert help with academic writing, learning, and study strategies
- In-person and online appointments
- Personalised language coaching
- Peer learning
- Collaborative environment",0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
How can I improve my paper or essay with the help of the Student Learning Commons?,"1. Seek expert and friendly help with academic writing
2. Learn study strategies in a collaborative environment
3. Attend in-person or online appointments
4. Share your own experiences at the exhibit
5. Help fellow students and develop transferable skills
6. Receive personalized language coaching to calm learning anxiety",0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
Are both in-person and online appointments available at the Student Learning Commons?,Yes.,0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
How can I help my fellow students and develop transferable skills at the Student Learning Commons?,"- Share your own experiences
- Participate in peer learning
- Collaborate with others
- Offer assistance with academic writing, learning, and study strategies",0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
What is personalised language coaching and how can it calm learning anxiety?,Personalized language coaching is a service offered by the Student Learning Commons to help students improve their language skills. It can calm learning anxiety by providing individualized support and guidance tailored to the student's specific needs and goals.,0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
Which Indigenous Nations' lands is Simon Fraser University Library located on?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh (Squamish), səl̓ilw̓ətaʔɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), qiqéyt (Qayqayt), qʼʷa:n̓ƛʼən̓ (Kwantlen), Səmyámə (Semiahmoo), and sc̓əwaθən (Tsawwassen) Nations.",0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
How does the Library commit to becoming a more welcoming space for Indigenous Peoples?,"By centering Indigenous voices in collections, services, and programs.",0_1_1_10,https://www.lib.sfu.ca/about/branches-depts/slc?_gl=1*1151pev*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMxMTIwOC4zMS4xLjE3MTYzMjA0MTAuNjAuMC4w
What is the name of the service offered by Simon Fraser University for safe and secure storage?,Vault,0_1_1_11_1,https://vault.sfu.ca/index.php/s/A0DafCiBQGClcdr?_gl=1*1b26tuo*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMyNzQ0My4zMi4xLjE3MTYzMjk2NDkuNTAuMC4w
Where is the safe and secure storage located?,SFU Data Centre,0_1_1_11_1,https://vault.sfu.ca/index.php/s/A0DafCiBQGClcdr?_gl=1*1b26tuo*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMyNzQ0My4zMi4xLjE3MTYzMjk2NDkuNTAuMC4w
What year was Simon Fraser University established?,1965,0_1_1_11_1,https://vault.sfu.ca/index.php/s/A0DafCiBQGClcdr?_gl=1*1b26tuo*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMyNzQ0My4zMi4xLjE3MTYzMjk2NDkuNTAuMC4w
Who can access the safe and secure storage in the SFU Data Centre?,Simon Fraser University personnel,0_1_1_11_1,https://vault.sfu.ca/index.php/s/A0DafCiBQGClcdr?_gl=1*1b26tuo*_ga*MTA0NzkyNjA5OS4xNzA3NzY3NjMz*_ga_R4BCVYL1QF*MTcxNjMyNzQ0My4zMi4xLjE3MTYzMjk2NDkuNTAuMC4w
How can students access free mental health support through My SSP?,"- By downloading the My SSP app on their phone
- By calling 1.844.451.9700 (or 001.416.380.6578 outside North America)",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
"How can staff, faculty, and student leaders promote My SSP?","- Share contact information for My SSP and Health and Counselling Services
- Download the My SSP app on your phone and encourage students to do the same
- Assist students in accessing My SSP with their consent by providing Assisted Referral and Outreach Request
- Request a staff/faculty consultation with My SSP by calling 1.844.451.9700
- Chat with an advisor through the My SSP app
- Contact SFU Health and Counselling Services for assistance or consultation
- Collaborate and join SFU Health Promotion to build healthy and supportive campus communities",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
"What are the different ways staff, faculty, and student leaders can assist students in accessing My SSP?","- Promote My SSP by sharing contact information for My SSP and Health and Counselling Services
- Download the My SSP app on your phone and encourage students do the same
- Assist students in accessing My SSP, provided you have their consent, by doing the following:
  - Assisted Referral: help students connect with My SSP for the first time
  - Outreach Request: ask My SSP to call the student",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
How can individuals request a staff/faculty consultation with My SSP?,Individuals can call 1.844.451.9700 anytime to request a staff/faculty consultation with My SSP.,0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
What areas for action is well-being embedded within as part of the Healthy Campus Community initiative?,"Learning and working environments
Policies and processes
Personal growth and development
Social connection and community engagement
Physical spaces
Services and supports",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
How can individuals collaborate or join SFU Health Promotion?,"- Connect with the Health Promotion team to explore opportunities of working together
- Discover ways to take action to enhance student health and well-being",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
"How can staff, faculty, and student leaders support students in distress?","- Promote My SSP by sharing contact information for My SSP and Health and Counselling Services
- Download the My SSP app on your phone and encourage students do the same
- Assist students in accessing My SSP, provided you have their consent, by doing the following: Assisted Referral, Outreach Request
- Call 1.844.451.9700 anytime to request a staff/faculty consultation
- Chat with an advisor through the My SSP app for advice on reaching out to a student in need
- Contact SFU Health and Counselling Services during office hours for assistance or consultation
- Learn how to support students in distress and identify signs of mental health challenges
- Respond and support those involved in critical incidents with empathy and compassion
- View available on-demand workshops and outreach opportunities and request one for your faculty, department, unit, or team.",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
What is a critical incident and how should a supportive community respond to it?,A critical incident typically involves a traumatic event that creates a strong emotional reaction. A supportive community should respond to critical incidents with empathy and compassion.,0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
What workshops and outreach opportunities are available through Health and Counselling Services?,"- View available on-demand workshops and outreach opportunities
- Request one for your faculty, department, unit or team",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
How can SFU faculty and staff access health and well-being resources and support services?,"- Call 1.844.451.9700 for a staff/faculty consultation
- Contact SFU Health and Counselling Services during office hours
- View available on-demand workshops and outreach opportunities
- Explore health and well-being resources and support services for SFU faculty and staff
- Burnaby campus: 778.782.4615
- Vancouver campus: 778.782.5200
- Surrey campus: 778.782.5200",0_1_1_11_2,https://www.sfu.ca/students/health/faculty-staff/faculty-staff-resources.html
What are the hours of operation for the staff resources at Simon Fraser University?,"Monday - Thursday: 8:30am - 4:30pm
Friday: Available via phone and email
Hours: 8:30am - 4:30pm (Monday - Friday)",0_1_1_11_3_1,https://www.sfu.ca/human-resources.html
How can I contact the managers at SFU for support?,"Email: pei_reception@sfu.ca
Phone: 778 782 3237",0_1_1_11_3_1,https://www.sfu.ca/human-resources.html
What is the email address for general inquiries at SFU?,pei_reception@sfu.ca,0_1_1_11_3_1,https://www.sfu.ca/human-resources.html
What are the contact details for the Human Resources department at SFU?,"- Telephone: 778 782 3237
- Business Fax: 778 782 3449
- Address: Strand Hall, Room 2170, 8888 University Drive",0_1_1_11_3_1,https://www.sfu.ca/human-resources.html
How can I reach the appropriate team for support at SFU?,You can reach the appropriate team for support at SFU by emailing pei_reception@sfu.ca or calling 778.782.3237.,0_1_1_11_3_1,https://www.sfu.ca/human-resources.html
How can I contact Campus Security in case of an emergency?,"- Call 911
- Campus Security is available 24/7 for urgent assistance",0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
Where should incidents and hazards on campus be reported?,"Incidents and hazards on campus should be reported in your department, classroom, or public spaces.",0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
Where can I find the full department directory for staff specific needs?,You can find the full department directory for staff specific needs on the SFU website.,0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
What is the mandate of the Safety & Risk Services team at SFU?,The mandate of the Safety & Risk Services team at SFU is collaboratively enhancing safety and mitigating risks across SFU.,0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
How can I review the Safety & Risk Services leadership team?,You can review the Safety & Risk Services leadership team by visiting their website or contacting the department directly.,0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
"What is the address of Simon Fraser University in Burnaby, B.C., Canada?","8888 University Drive
Burnaby, B.C",0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
Which indigenous peoples' traditional territories do SFU's campuses reside on?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo and Tsawwassen peoples",0_1_1_11_3_2,https://www.sfu.ca/srs/contact.html
How can I identify and potentially assist students in distress at SFU?,"- Contact the Office of Student Support, Rights & Responsibilities for students exhibiting concerning behavior
- Call Health & Counselling Services and ask to speak to a Mental Health Nurse or Counsellor for information and referral support
- Tell the student about Health & Counselling Services and My SSP, providing and/or referring them to other services
- Follow up with the student
- Call 911 if the student is at imminent risk of attempting suicide
- Use the My SSP service for free, confidential, 24/7 counseling support and wellness resources
- Attend the Health and Counselling Services' Support Over Suicide & Students In Distress (SOS/SID) workshop to learn how to recognize distress and suicide risk and refer students to mental health support
- Seek support for yourself through the Employee and Family Assistance Program (EFAP) if needed.",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What resources are available at SFU for students in distress?,"- Office of Student Support, Rights & Responsibilities
- Health & Counselling Services
- My SSP
- 24-hour crisis lines
- Campus Public Safety
- Employee and Family Assistance program (EFAP)",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
"When should I contact the Office of Student Support, Rights & Responsibilities?",- When students exhibit concerning behavior.,0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I seek advice in the best interest of a student?,"- Seek advice from SFU Health & Counselling
- Call Health & Counselling Services and ask to speak to a Mental Health Nurse or Counsellor
- Contact the Office of Student Support, Rights & Responsibilities 
- Contact My SSP for professional support as you support students through challenging situations
- Call 911 in emergency or crisis situations",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What actions should I take if I notice a specific behavior in a student?,"- Ask the student if they are okay and if they need any help
- Refer the student to Health & Counselling Services
- Provide information on other support services available at SFU
- Follow up with the student
- Call 911 in emergency or crisis situations
- Contact Campus Public Safety at 778-782-4500 if at SFU and in imminent risk of suicide
- Encourage the use of My SSP for counselling support
- Attend Health and Counselling Services' Support Over Suicide & Students In Distress (SOS/SID) workshop for professional development",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I refer a student to Health & Counselling Services?,"- Tell the student about Health & Counselling Services and My SSP
- Provide and/or refer them to other services listed at sfu.ca/mental-health
- Follow up with the student
- Call Health & Counselling Services and ask to speak to a Mental Health Nurse or Counsellor for information and referral support
- Let the student know about 24-hour crisis lines
- Refer the student to sfu.ca/sexual-violence for sexual assault support and information on their options for support and referrals
- Call 911 if the student is at imminent risk of attempting suicide
- If at SFU, also call Campus Public Safety at 778-782-4500 to help direct emergency services",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What should I do in an emergency or crisis situation involving a student?,"- Call 911
- If at SFU, also call Campus Public Safety at 778-782-4500
- Do not leave the student alone if you judge they are at imminent risk of attempting suicide",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I access the My SSP service for counseling support?,"Phone: 1-844-451-9700 (011-416-380-6578 from outside North America)
Download and learn more",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What are the contact details for Health & Counselling Services at SFU?,"Phone: 778-782-4615
Website: Click to view website >",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I participate in the SOS/SID workshop offered by Health and Counselling Services?,Contact Health and Counselling Services for information and registration.,0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
Who should I contact if security staff needs to assess a situation involving a student in distress?,Call 778-782-4500.,0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I access support for myself as a faculty or staff member supporting students in challenging situations?,"- Contact My SSP for professional support
- Call Health & Counselling Services for information and referral support
- Seek advice from SFU Health & Counselling
- Contact the Employee and Family Assistance program (EFAP) for support
- Attend the SOS/SID workshop for professional development opportunities",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What services does the trauma-informed and survivor-centered service for sexual violence survivors offer?,"- Offers confidential support, information, and referrals
- Provides educational programming and initiatives",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I seek support from the Employee and Family Assistance program at SFU?,"Burnaby campus: 778.782.4615
Vancouver campus: 778.782.5200
Surrey campus: 778.782.5200",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
How can I ensure I am taking care of myself while supporting students in distress at SFU?,"- Seek support as needed
- Contact the Employee and Family Assistance Program (EFAP)
- Take care of yourself",0_1_1_11_3,https://www.sfu.ca/students/health/faculty-staff/response-guide.html
What are some common signs of anxiety that many people struggle with?,"- worry
- tension
- nervousness",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can anxiety be managed and prevented?,"- Right treatment
- Support
- Self-care",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some features of anxiety disorders?,"- Anxiety that occurs more days than not for weeks or months
- Fear of being publicly embarrassed
- Panic
- Constant worries that are out of proportion to the environment and situation",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can anxiety affect a person's personal and work life?,"- Anxiety can interfere with personal and work life
- Anxiety can cause family and social problems
- Anxiety can leave sufferers housebound
- Anxiety can lead to substance abuse problems
- Untreated anxiety can contribute to the onset of depression",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some common anxiety disorders mentioned in the text?,"Generalized anxiety disorder (GAD), Panic disorder, Agoraphobia, Social anxiety disorder, Phobias, Post-traumatic stress disorder (PTSD), Obsessive-compulsive disorder (OCD)",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some symptoms of generalized anxiety disorder (GAD)?,"- Non-specific and excessive worries about almost anything
- Chronic and uncontrollable worry
- Feeling constantly ""on edge""
- Fatigue
- Difficulty concentrating
- Insomnia",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What is panic disorder and how is it characterized?,"Panic disorder is characterized by panic attacks - sudden and intense fear that may cause physical feelings such as a racing heart, shortness of breath, or nausea. Panic attacks may seem to happen for no reason at all, and people who experience panic disorder fear more attacks. In an effort to avoid triggering them, some people may change their routine.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What is agoraphobia and how does it affect individuals?,"Agoraphobia is the fear of being in a situation where escape is difficult or help is hard to obtain if they experience a panic attack or other feelings of anxiety. Left untreated, more and more places are avoided and a person can become housebound.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What is social anxiety disorder and how does it differ from shyness?,Social anxiety disorder is an exaggerated fear of social situations in which one’s behaviour can be scrutinized and evaluated by others. It is far more severe than shyness and can lead to isolation and severely impaired social relationships.,0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are phobias and how do they manifest?,- Phobias are a heightened and irrational fear of a specific object or situation that poses no real threat,0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How is post-traumatic stress disorder (PTSD) triggered?,"Post-traumatic stress disorder (PTSD) can be triggered by surviving a severe physical or mental trauma, or by witnessing such an event such as abuse, assault, robbery, accident, or natural disasters.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some symptoms of obsessive-compulsive disorder (OCD)?,"repetitive, uncontrollable, and irrational thoughts, compulsions, fear of harm, danger, or contamination, excessive hand washing, constant checking, impairment in social and occupational situations",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some effective treatments for anxiety mentioned in the text?,"Medication and counselling, Cognitive behavioural therapy (CBT), Mindfulness, Anxiolytic medications",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some common medications used to treat anxiety?,"citalopram (Celexa®), fluoxetine (Prozac®), paroxetine (Paxil®), sertraline (Zoloft®), venlafaxine (Effexor®), benzodiazepines, buspirone",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some counselling methods mentioned in the text for treating anxiety?,"- Cognitive behavioural therapy (CBT)
- Mindfulness-based interventions",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can mindfulness help in managing anxiety?,Mindfulness-based interventions may help in managing anxiety by developing the ability to connect to the present moment rather than dwelling on regrets or worries. This allows for new and healthier ways to respond to life's challenges.,0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can a healthy lifestyle contribute to managing anxiety?,"- Maintaining good nutrition
- Staying active
- Sticking to a regular sleep schedule
- Practicing relaxation techniques
- Practicing slow, relaxed breathing
- Keeping track of triggers
- Engaging in positive self-talk
- Reducing or eliminating caffeine
- Taking frequent, short ""stress breaks""
- Involving friends and family in the ""get-better"" plan",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What role does relaxation play in managing anxiety?,"Relaxation is one of the most straightforward and effective ways to manage anxiety. Maintaining good nutrition, staying active, and sticking to a regular sleep schedule can also help relieve tension and stress, making a person less vulnerable to anxiety and its symptoms. Practicing low and slow breathing before entering stressful situations can help reduce anxiety. Frequent, short ""stress breaks"" throughout the day can prevent physical tension from accumulating and contributing to anxiety. Involving friends and family in the treatment plan can provide support and help manage anxiety.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can keeping track of triggers help in managing anxiety?,"It can help identify patterns and circumstances that trigger anxiety. 
It can help in planning to change or avoid these triggers.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can self-talk impact anxiety levels?,Negative self-talk worsens anxiety and positive self-talk can reduce it. Changing negative self-talk involves becoming aware of inner dialogue and changing negative words to something neutral or positive.,0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What lifestyle changes can help reduce anxiety?,"- Maintain good nutrition
- Stay active
- Stick to a regular sleep schedule
- Practice relaxation techniques
- Practice low and slow breathing
- Keep track of triggers
- Change negative self-talk
- Reduce or eliminate caffeine
- Take frequent stress breaks
- Involve friends and family in the ""get-better"" plan",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can involving friends and family in a treatment plan be beneficial for managing anxiety?,"Involving friends and family in the treatment plan can provide support, encouragement, and assistance in making positive lifestyle changes. It can also help create a sense of community and reduce feelings of isolation.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
How can relapse of anxiety be prevented?,Relapse of anxiety can be prevented by putting the right plan into place.,0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What tips are provided for returning to work after a period of absence due to anxiety?,"- Preparing to return to work may seem overwhelming
- Tips provided for returning to work after a period of absence due to anxiety.",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
Where can more information on anxiety be found?,"- Canadian Mental Health Association
- Mood Disorders Society of Canada
- Canadian Psychological Association
- The Centre for Mindfulness Studies
- Statistics Canada: Section B - Anxiety disorders
- PyschCentral® Learn. Share. Grow",0_1_1_11_4_1,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/anxiety.html
What are some common symptoms of mania in individuals with bipolar disorder?,"- Elevated mood
- Unrestrained mood
- Irritability",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
How can the highs and lows of bipolar disorder be described?,The highs and lows of bipolar disorder can be described as episodes of mania and depression.,0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
What is the estimated lifetime risk of suicide in individuals with bipolar disorder?,The estimated lifetime risk of suicide in individuals with bipolar disorder is over 15 times that of the general population.,0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
What are some components of appropriate treatment for bipolar disorder?,"- Medication
- Psychotherapy
- Education
- Self-care
- Life skills (coping) strategies
- Making use of external supports such as family, friends, and formal support groups",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
How is bipolar disorder typically diagnosed?,"Bipolar disorder is diagnosed by a physician or mental health professional. Symptoms of bipolar disorder are cyclical with an irregular pattern of depressive and manic episodes over time; because of this, it sometimes takes time to come to the correct diagnosis. In addition, the symptoms of this disorder can mimic other disorders (e.g., hyperthyroidism), so it’s important to seek medical attention in order to rule out other medical conditions. 

Diagnosis is through face-to-face evaluation by a psychiatrist or other allied health care professional with specialized expertise in mood disorders, often using clinical tools such as the Diagnostic and Statistical Manual of Mental Disorders (DSM). There is no simple diagnostic test available at this time - for example a brain scan or blood test – that specifically identifies bipolar disorder.",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
What are some resources available for individuals seeking more information about bipolar disorder?,"- Canadian Mental Health Association
- Canadian Network for Mood and Anxiety Treatments
- Mood Disorders Society of Canada
- The Organization for Bipolar Affective Disorder",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
How can individuals living with bipolar disorder play an active role in their own treatment and recovery?,"- Maintain contact with a health care provider
- Follow recommended treatment strategies
- Be alert to changes in mood and physical/psychological well-being
- Communicate about personal experience, symptoms, challenges, and personal risk factors
- Take an active role in care
- Assist health care providers in understanding and treating the condition
- Develop a plan to return to work after time away for treatment
- Be an active participant in treatment and recovery",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
What are some potential consequences of untreated bipolar disorder on a person's ability to function in everyday life?,"- Significant or serious consequences for the person's ability to function in everyday life
- Difficulties at school, work, and in social and family contexts
- May affect the person's ability to function in social settings or at work",0_1_1_11_4_2,https://www.manulife.ca/personal/plan-and-learn/mental-health/conditions/bipolar-disorder.html
